Episode,Score,Duration
1,140,21.284
2,330,22.617
3,340,21.928
4,240,20.408
5,150,20.077
6,140,22.677
7,200,21.826
8,170,20.883
9,180,35.515
10,150,18.73
11,190,22.44
12,170,24.717
13,170,20.292
14,250,18.952
15,200,21.336
16,190,20.415
17,190,21.032
18,280,19.096
19,160,21.229
20,220,17.946
21,320,19.712
22,220,20.262
23,320,17.31
24,250,21.265
25,290,18.534
26,230,17.992
27,230,17.488
28,220,21.58
29,230,18.87
30,90,19.587
31,270,19.807
32,150,17.412
33,400,25.823
34,410,25.01
35,410,24.996
36,130,24.979
37,250,26.145
38,350,25.477
39,350,23.191
40,380,27.403
41,480,37.746
42,340,24.118
43,370,27.186
44,350,32.143
45,410,38.338
46,210,24.264
47,410,26.171
48,310,36.661
49,350,21.593
50,80,17.585
51,270,21.032
52,270,16.777
53,190,18.28
54,270,23.081
55,390,17.029
56,240,17.908
57,380,20.369
58,150,17.836
59,170,17.33
60,200,18.817
61,420,15.647
62,310,16.955
63,250,17.072
64,250,22.642
65,250,19.192
66,320,16.807
67,370,20.066
68,750,23.858
69,200,16.752
70,140,18.864
71,410,17.904
72,230,19.873
73,300,19.6
74,80,17.523
75,400,16.783
76,200,19.408
77,80,16.619
78,70,18.572
79,90,18.071
80,230,16.595
81,140,17.177
82,110,17.567
83,150,15.704
84,440,17.969
85,90,16.799
86,190,19.429
87,200,17.461
88,270,19.266
89,360,19.859
90,100,16.39
91,450,20.512
92,300,16.705
93,340,22.072
94,210,17.512
95,300,18.344
96,190,16.809
97,160,17.446
98,110,17.049
99,120,18.516
100,350,21.207
101,160,17.032
102,180,17.361
103,260,16.397
104,100,15.976
105,150,17.696
106,150,16.246
107,470,17.475
108,200,18.037
109,330,13.606
110,160,17.078
111,330,19.216
112,130,17.073
113,240,22.457
114,240,24.979
115,540,36.288
116,940,36.349
117,260,25.331
118,290,23.261
119,550,36.362
120,380,28.012
121,420,37.197
122,220,21.631
123,220,24.587
124,620,36.525
125,390,35.564
126,220,23.288
127,260,25.372
128,340,33.466
129,490,32.276
130,630,32.619
131,440,34.314
132,430,30.191
133,470,35.525
134,450,41.284
135,510,28.366
136,440,27.179
137,500,38.235
138,280,23.881
139,540,30.587
140,400,33.383
141,510,34.192
142,540,27.111
143,350,25.761
144,510,34.112
145,380,38.453
146,390,33.658
147,520,32.782
148,400,25.62
149,500,40.554
150,410,25.085
151,500,34.45
152,330,33.217
153,470,29.069
154,500,34.633
155,480,36.228
156,600,34.735
157,240,27.011
158,380,33.856
159,470,35.393
160,380,30.812
161,500,30.428
162,550,26.941
163,440,35.96
164,630,25.968
165,310,38.934
166,500,35.798
167,620,36.028
168,350,25.9
169,470,25.4
170,360,34.442
171,300,23.866
172,330,33.154
173,500,30.873
174,510,34.771
175,500,36.694
176,380,32.017
177,440,30.106
178,520,33.293
179,480,26.961
180,370,28.6
181,290,35.519
182,500,28.68
183,390,37.249
184,510,33.681
185,460,38.96
186,510,32.23
187,390,32.192
188,440,32.244
189,510,33.431
190,450,25.309
191,480,25.092
192,500,38.463
193,520,27.472
194,410,30.619
195,310,32.559
196,510,37.915
197,320,37.281
198,510,25.931
199,470,25.946
200,500,33.236
201,500,35.018
202,460,35.009
203,390,32.308
204,460,32.597
205,340,26.963
206,500,34.442
207,380,34.946
208,500,34.714
209,400,27.116
210,410,33.587
211,380,28.291
212,390,30.94
213,500,37.656
214,500,31.941
215,450,28.367
216,310,24.558
217,630,38.554
218,320,46.671
219,140,23.131
220,180,36.237
221,380,37.477
222,360,43.209
223,320,45.013
224,350,41.246
225,310,38.957
226,290,48.389
227,380,45.216
228,460,27.607
229,440,30.882
230,500,32.999
231,380,33.843
232,290,36.182
233,470,27.492
234,380,37.289
235,390,44.799
236,380,35.951
237,380,34.79
238,410,36.424
239,310,31.846
240,300,26.215
241,340,24.349
242,480,31.994
243,390,32.348
244,380,36.7
245,340,28.1
246,500,35.34
247,450,26.887
248,410,30.41
249,380,25.75
250,310,28.013
251,330,26.75
252,410,34.541
253,360,37.306
254,370,27.737
255,320,37.315
256,500,32.184
257,410,27.099
258,380,37.032
259,380,36.98
260,420,38.524
261,400,34.965
262,580,28.359
263,410,32.148
264,290,24.959
265,420,41.753
266,290,23.595
267,350,26.124
268,350,38.639
269,560,26.553
270,390,45.268
271,360,33.223
272,380,28.481
273,400,28.731
274,300,24.572
275,500,26.428
276,490,31.848
277,340,33.608
278,500,35.319
279,500,31.615
280,380,43.55
281,380,42.161
282,630,32.549
283,350,25.318
