Episode,Score,Duration
1,260,20.838
2,160,22.588
3,300,19.069
4,150,19.694
5,260,22.914
6,250,20.111
7,310,22.244
8,300,20.814
9,240,25.117
10,360,23.925
11,300,22.142
12,270,24.867
13,240,25.348
14,210,19.295
15,250,22.904
16,150,21.635
17,160,20.512
18,410,37.751
19,350,36.147
20,200,21.463
21,330,22.129
22,230,21.583
23,490,23.992
24,160,20.109
25,330,36.816
26,370,20.751
27,330,25.873
28,390,27.385
29,550,29.982
30,400,26.824
31,250,25.664
32,440,23.824
33,320,23.28
34,270,25.022
35,570,30.468
36,380,25.022
37,380,24.571
38,390,26.531
39,220,20.938
40,300,24.361
41,320,23.592
42,280,22.76
43,360,23.702
44,420,23.18
45,390,25.115
46,420,23.655
47,360,25.566
48,550,34.724
49,470,40.39
50,400,24.002
51,520,27.101
52,320,25.643
53,430,27.227
54,450,23.991
55,390,27.821
56,500,27.776
57,520,33.373
58,510,35.857
59,540,33.971
60,340,32.854
61,390,34.192
62,510,34.911
63,230,21.743
64,350,24.476
65,420,32.031
66,590,40.803
67,490,32.659
68,500,27.369
69,580,29.57
70,450,24.731
71,330,20.817
72,490,35.251
73,300,23.903
74,390,32.036
75,390,31.138
76,400,25.519
77,510,33.115
78,1020,37.531
79,560,39.433
80,230,21.032
81,230,25.73
82,350,35.861
83,390,24.855
84,340,24.409
85,240,21.559
86,260,21.326
87,240,22.053
88,270,21.642
89,350,35.08
90,220,23.521
91,170,20.159
92,220,21.655
93,290,23.821
94,280,21.096
95,520,39.977
96,260,22.54
97,400,34.542
98,230,22.862
99,240,23.592
100,310,23.111
101,220,23.423
102,330,22.881
103,430,25.549
104,200,21.147
105,380,24.766
106,960,36.852
107,330,25.228
108,350,36.196
109,270,22.76
110,240,22.706
111,380,22.188
112,230,22.325
113,400,36.966
114,350,35.814
115,430,35.478
116,280,21.605
117,290,19.846
118,320,23.982
119,250,24.796
120,250,23.571
121,330,25.31
122,260,25.808
123,310,26.253
124,260,25.344
125,440,25.076
126,210,24.346
127,280,35.901
128,400,35.7
129,200,22.928
130,200,24.46
131,240,23.357
132,990,41.971
133,450,25.309
134,250,22.159
135,180,21.02
136,250,22.768
137,190,24.304
138,310,24.142
139,340,24.093
140,280,21.239
141,220,22.061
142,200,21.446
143,320,24.849
144,260,35.602
145,350,26.068
146,230,22.698
147,250,21.9
148,380,20.602
149,260,23.548
150,230,23.762
151,280,23.772
152,340,25.952
153,240,34.699
154,270,21.843
155,200,23.126
156,260,25.752
157,310,36.328
158,260,21.43
159,1020,38.044
160,340,36.911
161,150,21.414
162,320,24.68
163,220,22.629
164,230,26.575
165,240,23.692
166,160,20.607
167,260,24.815
168,310,25.576
169,340,21.824
170,250,23.622
171,390,21.219
172,190,22.423
173,310,36.004
174,340,23.605
175,270,21.524
176,320,23.507
177,480,34.214
178,350,31.494
179,520,32.302
180,480,26.915
181,420,38.165
182,390,25.725
183,520,28.546
184,410,35.327
185,410,24.756
186,440,23.425
187,410,43.197
188,380,26.525
189,320,24.83
190,240,25.183
191,130,25.906
192,410,25.874
193,560,25.269
194,390,39.235
195,420,35.89
196,500,34.249
197,510,31.182
198,500,33.253
199,400,33.289
200,470,25.034
201,520,35.077
202,380,36.159
203,410,38.835
204,340,25.372
205,410,28.445
206,380,24.315
207,320,25.803
208,520,33.896
209,450,40.452
210,380,43.556
211,400,36.041
212,250,25.933
213,420,33.737
214,480,32.272
215,390,40.575
216,410,38.04
217,390,45.571
218,470,32.212
219,390,37.082
220,390,46.447
221,330,37.913
222,280,38.115
223,250,36.163
224,390,28.025
225,330,34.172
226,490,31.596
227,400,34.667
228,390,39.547
229,490,35.845
230,390,36.737
231,230,23.881
232,350,22.004
233,380,37.652
234,570,35.811
235,370,36.465
236,320,40.03
237,280,37.765
238,400,34.811
239,450,31.064
240,330,26.237
241,380,35.675
242,460,33.899
243,440,30.065
244,370,25.996
245,130,36.068
246,520,34.912
247,370,27.224
248,310,35.115
249,330,28.048
250,360,35.175
251,510,38.179
252,380,35.016
253,400,44.953
254,270,34.456
255,280,23.597
256,380,24.006
257,430,26.398
258,310,26.83
259,480,35.192
260,350,31.191
261,330,37.295
262,140,23.181
263,250,25.091
264,380,32.55
265,400,33.734
266,330,32.753
267,480,36.108
268,280,21.708
269,380,33.026
270,520,34.274
271,230,22.874
272,510,30.025
273,460,33.174
274,310,26.259
275,400,40.79
276,390,44.292
277,390,23.292
278,350,24.696
279,480,38.778
280,510,30.343
281,400,40.088
282,450,42.672
283,500,40.185
284,480,37.689
285,390,35.154
286,420,40.17
287,270,24.153
288,390,37.902
289,310,39.842
290,450,29.821
291,480,24.922
292,370,35.738
293,390,35.084
294,330,25.406
295,380,35.518
296,390,35.583
297,390,35.912
298,440,22.662
299,270,41.962
300,240,25.182
301,380,32.072
302,380,25.207
303,410,25.061
304,340,41.754
305,400,34.525
306,390,39.486
307,380,37.525
308,500,33.3
309,340,27.142
310,380,34.757
311,380,32.186
312,380,32.759
313,400,40.351
314,430,46.527
315,390,50.96
316,340,37.136
317,400,27.857
318,280,38.395
319,410,35.23
320,370,32.712
321,390,34.845
322,450,34.424
323,640,39.482
324,360,26.832
325,510,30.85
326,440,33.591
327,400,24.543
328,400,34.824
329,500,35.438
330,390,40.6
331,260,22.382
332,320,24.609
333,310,36.171
334,320,21.751
335,230,21.7
336,230,24.065
337,310,25.041
338,210,21.312
339,260,26.233
340,260,21.861
341,200,22.791
342,180,22.775
343,330,35.773
344,250,35.811
345,180,21.841
346,190,22.975
347,150,20.903
348,340,39.927
349,350,35.255
350,200,22.384
351,190,21.812
352,230,22.992
353,390,35.749
354,190,22.837
355,200,22.7
356,260,22.875
357,200,21.485
358,300,25.557
359,310,36.541
360,210,22.847
361,190,22.858
362,330,24.553
363,330,38.989
364,350,35.957
365,190,23.706
366,150,20.615
367,260,21.383
368,250,23.706
369,190,22.911
370,190,23.046
371,310,26.162
372,310,22.306
373,260,22.845
374,270,23.121
375,260,21.619
376,230,21.714
377,180,20.843
378,300,25.793
379,190,23.364
380,220,23.41
381,210,22.621
382,210,21.649
383,540,36.657
384,180,21.382
385,260,18.339
386,150,20.52
387,180,21.847
388,190,24.793
389,180,23.386
390,320,21.705
391,340,36.847
392,280,23.309
393,930,43.664
394,540,40.275
395,230,26.409
396,230,21.592
397,950,40.816
398,240,25.779
399,300,26.451
400,260,22.138
401,150,22.472
402,300,25.221
403,230,25.921
404,280,22.388
405,220,36.274
406,180,21.854
407,230,22.813
408,550,37.498
409,260,22.371
410,200,21.426
411,250,25.132
412,160,22.531
413,310,24.712
414,210,21.206
415,290,36.301
416,220,21.748
417,310,22.978
418,190,23.018
419,160,21.271
420,180,21.233
421,310,24.441
422,210,20.9
423,220,37.159
424,250,21.503
425,260,22.882
426,350,36.757
427,220,24.133
428,270,21.709
429,230,21.008
430,230,25.514
431,260,23.167
432,340,26.538
433,320,22.792
434,230,23.916
435,180,23.024
436,230,25.965
437,160,21.34
438,190,21.765
439,180,22.981
440,950,36.752
441,420,27.544
442,290,23.148
443,180,21.679
444,320,21.724
445,230,21.941
446,220,24.342
447,230,35.771
448,480,35.798
449,320,36.043
450,310,25.532
451,220,34.746
452,180,21.383
453,220,22.694
454,190,22.929
455,260,23.041
456,210,22.071
457,150,22.44
458,200,21.901
459,220,21.077
460,330,26.329
461,390,24.157
462,240,25.605
463,190,22.998
464,340,36.366
465,260,23.165
466,240,23.416
467,150,20.111
468,210,20.872
469,240,25.513
470,270,22.356
471,230,24.855
472,340,36.151
473,180,22.743
474,230,36.028
475,540,36.137
476,350,36.129
477,230,24.905
478,230,26.213
479,230,26.215
480,350,39.688
481,240,24.591
482,220,36.32
483,300,21.559
484,150,20.507
485,370,27.823
486,230,21.549
487,180,21.283
488,330,24.773
489,230,21.858
490,290,23.437
491,150,20.579
492,470,41.195
493,260,21.156
494,240,25.972
495,310,23.628
496,260,22.853
497,260,23.252
498,300,23.727
499,190,23.15
500,220,21.406
