Episode,Score,Duration
1,600,2.365
2,180,2.071
3,180,2.437
4,240,3.356
5,360,4.314
6,350,2.671
7,200,2.107
8,150,3.039
9,190,3.407
10,210,3.418
11,280,2.91
12,470,5.328
13,210,3.842
14,200,3.902
15,190,2.714
16,330,5.559
17,210,3.536
18,550,6.358
19,210,4.744
20,180,3.403
21,160,3.56
22,130,2.082
23,270,7.161
24,190,3.526
25,170,3.529
26,230,2.842
27,230,3.606
28,310,3.507
29,410,6.623
30,310,4.976
31,240,4.15
32,240,2.126
33,310,4.029
34,220,2.737
35,110,2.027
36,230,2.732
37,250,3.284
38,140,3.177
39,170,2.366
40,230,2.128
41,480,4.811
42,260,3.099
43,440,6.816
44,290,5.087
45,260,3.044
46,140,5.598
47,180,2.861
48,260,3.39
49,600,6.868
50,340,4.509
51,300,4.353
52,170,3.458
53,330,3.32
54,160,4.933
55,320,2.852
56,510,4.715
57,170,4.157
58,230,2.664
59,400,4.077
60,200,4.132
61,210,4.364
62,220,2.153
63,350,3.856
64,360,5.086
65,180,2.919
66,260,3.662
67,440,3.569
68,130,2.361
69,120,2.548
70,140,3.432
71,650,6.316
72,210,2.604
73,530,5.983
74,250,2.731
75,530,5.18
76,130,2.601
77,180,2.418
78,120,2.361
79,130,1.918
80,290,2.807
81,470,4.326
82,220,2.815
83,190,2.914
84,290,4.98
85,310,4.447
86,190,3.528
87,180,2.688
88,240,2.162
89,160,4.45
90,130,2.479
91,380,3.85
92,170,2.716
93,260,2.873
94,390,5.008
95,180,3.539
96,230,3.325
97,110,2.099
98,200,2.707
99,270,3.586
100,840,5.485
101,390,3.402
102,130,2.774
103,290,3.087
104,290,3.478
105,260,2.855
106,260,3.195
107,390,5.625
108,180,2.338
109,290,4.077
110,240,2.753
111,440,3.139
112,410,4.011
113,420,7.696
114,190,2.855
115,280,3.83
116,440,3.299
117,380,4.346
118,290,2.393
119,210,3.326
120,260,2.992
121,120,2.414
122,200,3.169
123,200,4.22
124,230,2.303
125,100,2.804
126,330,3.948
127,220,3.476
128,110,2.096
129,380,4.697
130,360,3.481
131,150,2.673
132,280,3.49
133,230,2.672
134,150,2.564
135,240,2.092
136,350,3.515
137,150,2.409
138,310,7.751
139,230,4.001
140,280,5.006
141,270,4.16
142,270,3.535
143,280,4.044
144,290,2.831
145,250,6.001
146,250,4.024
147,140,2.905
148,560,4.513
149,280,2.672
150,260,3.772
151,300,4.121
152,240,3.531
153,220,3.469
154,220,6.348
155,320,3.312
156,210,2.79
157,240,2.13
158,400,4.681
159,160,4.686
160,290,3.448
161,310,2.813
162,210,3.498
163,320,4.334
164,250,3.262
165,220,5.534
166,200,4.151
167,210,2.647
168,210,4.154
169,470,4.839
170,270,3.581
171,440,6.523
172,260,3.263
173,250,3.639
174,220,3.519
175,510,4.622
176,280,4.181
177,380,6.323
178,270,5.148
179,250,4.285
180,330,3.721
181,310,3.03
182,190,1.396
183,260,4.956
184,200,2.109
185,310,4.271
186,460,6.305
187,270,3.21
188,290,2.87
189,330,3.267
190,340,6.275
191,410,4.759
192,240,4.154
193,380,5.145
194,280,2.946
195,350,2.734
196,240,2.682
197,250,3.01
198,250,2.263
199,130,3.03
200,290,3.579
201,340,5.335
202,370,6.485
203,140,5.026
204,460,3.398
205,340,3.867
206,340,6.404
207,170,2.546
208,400,4.866
209,320,2.821
210,340,3.375
211,300,5.628
212,190,2.944
213,330,3.925
214,520,6.502
215,210,2.269
216,160,2.898
217,140,4.273
218,440,3.825
219,290,3.544
220,340,4.237
221,390,4.962
222,120,2.832
223,350,2.552
224,330,2.207
225,180,2.135
226,400,3.016
227,250,2.237
228,490,4.854
229,300,4.747
230,330,3.798
231,270,2.202
232,260,2.756
233,330,5.51
234,300,2.982
235,410,4.226
236,160,2.02
237,510,7.752
238,320,4.502
239,340,4.357
240,200,2.624
241,120,2.736
242,280,5.438
243,240,2.493
244,430,4.537
245,280,4.332
246,220,2.727
247,330,6.593
248,210,3.588
249,350,4.203
250,190,6.266
251,280,4.976
