Episode Rewards,Episode EPS,Episode Scores,Episode Lengths
-429,0.8999999761581421,230,181
-424,0.8992919325828552,240,187
-491,0.8985844850540161,130,133
-493,0.8978776335716248,100,102
-455,0.8971713781356812,220,196
-631,0.8964657187461853,290,449
-455,0.8957605957984924,150,119
-455,0.8950561285018921,190,163
-424,0.8943521976470947,220,165
-410,0.8936488628387451,180,107
-465,0.8929461240768433,150,129
-451,0.8922439217567444,230,203
-470,0.891542375087738,190,178
-381,0.8908413648605347,250,155
-293,0.890140950679779,350,177
-424,0.8894411325454712,190,132
-438,0.8887419104576111,180,135
-442,0.888043224811554,170,128
-451,0.8873451352119446,190,159
-465,0.886647641658783,260,250
-366,0.8859507441520691,290,184
-398,0.8852543830871582,210,128
-442,0.8845586180686951,290,260
-448,0.8838634490966797,160,123
-439,0.8831688761711121,180,136
-391,0.8824748396873474,300,220
-523,0.8817813992500305,130,165
-300,0.8810885548591614,350,184
-375,0.8803962469100952,310,215
-450,0.8797045350074768,220,191
-517,0.8790134191513062,100,126
-479,0.8783228397369385,280,286
-418,0.8776329159736633,240,181
-436,0.8769434690475464,190,144
-419,0.8762546181678772,240,182
-416,0.8755663633346558,250,190
-394,0.8748787045478821,370,300
-484,0.8741915822029114,160,159
-475,0.8735050559043884,260,260
-466,0.8728190660476685,180,163
-424,0.8721336722373962,240,187
-439,0.8714488744735718,180,136
-413,0.8707646131515503,320,264
-468,0.8700809478759766,190,176
-533,0.8693978190422058,160,208
-497,0.868715226650238,170,183
-531,0.8680332899093628,90,129
-401,0.8673518896102905,270,197
-501,0.8666710257530212,120,132
-443,0.8659907579421997,200,162
-496,0.8653110265731812,170,182
-424,0.8646318912506104,320,275
-458,0.8639532923698425,230,210
-449,0.8632752895355225,220,190
-510,0.8625978827476501,110,130
-464,0.861920952796936,200,183
-396,0.8612446784973145,260,181
-398,0.8605688810348511,240,161
-393,0.8598937392234802,220,134
-345,0.8592190742492676,260,130
-438,0.8585450053215027,200,157
-385,0.8578715324401855,250,159
-418,0.8571985363960266,220,159
-414,0.8565261960029602,190,122
-502,0.855854332447052,210,232
-536,0.8551830649375916,190,244
-421,0.8545123934745789,210,151
-465,0.8538421988487244,180,162
