Episode,Score,Duration
1,350,0.721
2,720,1.245
3,440,1.253
4,760,1.26
5,710,1.275
6,310,1.251
7,240,1.253
8,710,1.258
9,800,1.272
10,440,1.254
11,630,1.258
12,400,1.255
13,330,1.258
14,220,1.254
15,220,1.253
16,210,1.261
17,600,1.26
18,480,1.265
19,200,1.269
20,470,1.28
21,380,1.269
22,190,1.266
23,520,1.277
24,420,1.268
25,710,1.264
26,290,1.264
27,270,1.27
28,490,1.266
29,270,1.268
30,260,1.273
31,290,1.267
32,620,1.271
33,650,1.27
34,470,1.267
35,230,1.271
36,500,1.28
37,600,1.276
38,360,1.271
39,280,1.264
40,410,1.276
41,280,1.27
42,300,1.274
43,420,1.271
44,520,1.28
45,430,1.271
46,430,1.275
47,640,1.265
48,690,1.289
49,500,1.268
50,580,1.262
51,460,1.263
52,430,1.268
53,290,1.258
54,350,1.258
55,170,1.268
56,370,1.259
57,660,1.263
58,650,1.261
59,290,1.258
60,550,1.258
61,400,1.256
62,590,1.264
63,270,1.26
64,440,1.256
65,240,1.262
66,240,1.258
67,400,1.26
68,290,1.27
69,590,1.28
70,170,1.277
71,490,1.328
72,420,1.289
73,320,1.277
74,190,1.272
75,510,1.271
76,340,1.275
77,340,1.279
78,590,1.273
79,680,1.271
80,570,1.274
81,700,1.273
82,160,1.272
83,260,1.283
84,440,1.282
85,300,1.273
86,450,1.274
87,240,1.287
88,780,1.275
89,380,1.272
90,270,1.276
91,330,1.284
92,320,1.278
93,610,1.279
94,250,1.267
95,560,1.273
96,470,1.268
97,610,1.273
98,300,1.274
99,630,1.283
100,470,1.281
101,270,1.278
102,680,1.275
103,160,1.271
104,550,1.276
105,290,1.28
106,490,1.278
107,250,1.28
108,280,1.281
109,300,1.288
110,290,1.278
111,710,1.287
112,410,1.282
113,210,1.28
114,320,1.272
115,600,1.277
116,370,1.276
117,480,1.269
118,240,1.266
119,370,1.271
120,200,1.276
121,430,1.265
122,310,1.269
123,270,1.266
124,200,1.271
125,170,1.271
126,570,1.266
127,270,1.268
128,610,1.273
129,390,1.262
130,540,1.275
131,260,1.26
132,200,1.272
133,500,1.297
134,360,1.325
135,560,1.284
136,230,1.283
137,490,1.268
138,580,1.271
139,210,1.273
140,440,1.278
141,350,1.3
142,360,1.301
143,530,1.297
144,430,1.283
145,330,1.289
146,340,1.274
147,490,1.275
148,210,1.282
149,470,1.279
150,550,1.285
151,580,1.29
152,250,1.286
153,550,1.277
154,200,1.274
155,480,1.282
156,710,1.278
157,600,1.277
158,310,1.275
159,260,1.273
160,230,1.268
161,190,1.291
162,610,1.281
163,380,1.28
164,510,1.282
165,570,1.271
166,270,1.271
167,440,1.278
168,300,1.28
169,540,1.274
170,410,1.271
171,370,1.274
172,290,1.277
173,350,1.283
174,230,1.271
175,340,1.272
176,330,1.276
177,790,1.275
178,480,1.27
179,310,1.266
180,270,1.28
181,210,1.28
182,230,1.274
183,300,1.274
184,410,1.272
185,420,1.271
186,320,1.28
187,410,1.288
188,200,1.275
189,440,1.293
190,330,1.285
191,430,1.277
192,390,1.281
193,350,1.278
194,210,1.279
195,480,1.289
196,270,1.289
197,520,1.285
198,280,1.285
199,300,1.291
200,530,1.287
201,330,1.325
202,430,1.28
203,300,1.283
204,290,1.294
205,190,1.319
206,230,1.293
207,490,1.292
208,530,1.296
209,320,1.282
210,290,1.279
211,290,1.284
212,360,1.318
213,310,1.304
214,260,1.313
215,420,1.306
216,290,1.311
217,260,1.3
218,660,1.289
219,330,1.299
220,460,1.299
221,330,1.296
222,370,1.303
223,650,1.298
224,370,1.299
225,250,1.297
226,160,1.292
227,220,1.299
228,590,1.301
229,420,1.291
230,350,1.292
231,340,1.342
232,570,1.323
233,250,1.334
234,390,1.305
235,290,1.293
236,370,1.288
237,290,1.296
238,590,1.311
239,550,1.311
240,300,1.304
241,560,1.301
242,830,1.303
243,620,1.303
244,520,1.283
245,670,1.309
246,340,1.294
247,430,1.29
248,250,1.299
249,430,1.302
250,640,1.293
251,250,1.297
252,320,1.295
253,320,1.291
254,270,1.285
255,330,1.283
256,380,1.309
257,430,1.294
258,380,1.338
259,340,1.303
260,380,1.289
261,510,1.285
262,180,1.283
263,560,1.289
264,470,1.289
265,260,1.293
266,490,1.29
267,350,1.28
268,540,1.288
269,400,1.284
270,500,1.284
271,380,1.292
272,620,1.287
273,730,1.277
274,520,1.294
275,450,1.28
276,400,1.289
277,210,1.283
278,720,1.29
279,520,1.303
280,210,1.295
281,620,1.3
282,450,1.303
283,730,1.297
284,700,1.294
285,240,1.297
286,300,1.29
287,900,1.301
288,510,1.289
289,170,1.31
290,340,1.288
291,390,1.291
292,650,1.3
293,430,1.3
294,400,1.299
295,260,1.295
296,330,1.3
297,450,1.302
298,380,1.298
299,560,1.29
300,540,1.304
301,550,1.291
302,260,1.296
303,480,1.294
304,380,1.348
305,490,1.36
306,770,1.311
307,490,1.301
308,460,1.323
309,100,1.306
310,820,1.316
311,690,1.322
312,700,1.327
313,710,1.31
314,360,1.309
315,510,1.313
316,740,1.313
317,200,1.316
318,310,1.321
319,440,1.313
320,730,1.327
321,80,1.319
322,420,1.312
323,630,1.304
324,580,1.314
325,220,1.304
326,130,1.318
327,240,1.311
328,420,1.308
329,470,1.313
330,410,1.303
331,540,1.312
332,340,1.312
333,290,1.32
334,260,1.315
335,470,1.312
336,770,1.313
337,780,1.31
338,430,1.308
339,330,1.32
340,360,1.317
341,290,1.308
342,540,1.313
343,550,1.303
344,370,1.306
345,250,1.309
346,510,1.307
347,400,1.309
348,390,1.321
349,490,1.328
350,220,1.32
351,530,1.315
352,700,1.312
353,340,1.327
354,690,1.347
355,280,1.35
356,510,1.331
357,520,1.347
358,580,1.333
359,300,1.317
360,450,1.312
361,340,1.344
362,360,1.32
363,300,1.321
364,410,1.316
365,590,1.329
366,290,1.32
367,330,1.317
368,120,1.324
369,190,1.328
370,290,1.315
371,330,1.325
372,430,1.323
373,400,1.332
374,580,1.323
375,480,1.334
376,480,1.34
377,420,1.328
378,660,1.338
379,510,1.322
380,240,1.341
381,310,1.328
382,550,1.318
383,310,1.335
384,420,1.339
385,500,1.329
386,550,1.314
387,190,1.318
388,470,1.34
389,370,1.331
390,240,1.319
391,350,1.332
392,500,1.354
393,270,1.346
394,460,1.341
395,340,1.362
396,630,1.341
397,650,1.319
398,350,1.325
399,530,1.338
400,470,1.319
