Episode,Score,Duration
1,240,21.946
2,340,23.965
3,330,23.919
4,410,25.087
5,190,18.241
6,150,23.167
7,220,19.345
8,230,22.169
9,250,22.909
10,330,20.174
11,380,17.479
12,350,20.259
13,300,20.732
14,260,23.511
15,390,22.708
16,160,19.778
17,210,21.627
18,220,22.312
19,160,20.371
20,170,17.951
21,190,16.672
22,270,21.257
23,200,19.842
24,260,18.397
25,150,18.05
26,320,18.663
27,310,22.818
28,360,16.472
29,260,17.066
30,320,21.365
31,390,18.498
32,380,18.557
33,400,18.842
34,1170,39.738
35,210,18.103
36,200,18.828
37,190,20.698
38,240,21.67
39,330,18.417
40,220,17.827
41,160,18.827
42,230,18.969
43,220,18.054
44,420,21.926
45,640,37.163
46,200,18.88
47,190,21.353
48,100,18.26
49,220,17.468
50,160,18.613
51,110,17.236
52,170,17.323
53,230,19.703
54,420,21.343
55,420,20.234
56,1870,53.535
57,200,16.578
58,180,18.92
59,130,18.871
60,70,17.776
61,340,20.66
62,380,21.236
63,330,18.997
64,540,18.326
65,470,16.554
66,150,18.936
67,340,17.615
68,140,19.574
69,150,20.207
70,200,17.967
71,300,18.678
72,140,17.363
73,330,33.624
74,430,18.683
75,460,20.921
76,120,16.211
77,140,17.488
78,180,17.133
79,270,20.907
80,180,16.262
81,150,18.878
82,170,18.832
83,390,23.959
84,80,17.635
85,270,18.186
86,410,19.699
87,160,17.67
88,340,18.869
89,270,20.718
90,300,18.446
91,280,17.638
92,170,24.335
93,240,16.328
94,170,18.43
95,450,20.178
96,150,17.014
97,190,17.32
98,110,18.132
99,200,16.714
100,290,20.22
101,120,18.517
102,300,20.866
103,110,17.758
104,280,21.196
105,70,17.586
106,380,15.937
107,90,17.645
108,150,16.743
109,180,17.48
110,310,18.084
111,150,16.71
112,80,16.778
113,370,14.618
114,140,18.532
115,70,17.572
116,250,17.031
117,220,19.975
118,130,16.624
119,120,17.309
120,150,15.836
121,390,19.763
122,210,16.649
123,220,17.983
124,160,17.302
125,1000,28.347
126,500,14.772
127,360,14.413
128,410,21.354
129,160,15.419
130,130,16.705
131,1050,39.753
132,120,18.251
133,110,18.848
134,70,18.865
135,180,18.153
136,310,16.263
137,120,16.373
138,330,15.75
139,120,17.46
140,270,22.11
141,70,17.749
142,220,18.14
143,70,18.247
144,460,24.331
145,120,15.484
146,180,18.34
147,360,19.571
148,140,16.57
149,270,15.461
150,180,18.522
151,450,19.655
152,190,17.453
153,150,15.826
154,70,17.778
155,420,17.347
156,110,17.206
157,70,17.854
158,430,15.265
159,150,15.44
160,70,18.283
161,250,21.829
162,70,17.926
163,160,17.341
164,310,16.954
165,110,17.167
166,210,16.583
167,110,20.114
168,70,20.731
169,80,16.443
170,110,17.816
171,130,17.02
172,210,17.575
173,70,18.376
174,120,17.04
175,470,22.477
176,70,17.338
177,300,16.22
178,260,17.435
179,260,16.961
180,370,14.746
181,70,18.229
182,450,23.385
183,90,17.194
184,140,16.741
185,340,14.627
186,270,15.132
187,260,17.764
188,110,17.536
189,70,17.78
190,140,16.68
191,70,19.169
192,360,21.295
193,70,16.765
194,410,15.769
195,160,17.421
196,140,19.909
197,90,16.53
198,70,17.674
199,140,17.551
200,130,17.483
